"","Tick_2000-10-18_To_2001-10-11","Membership_2000-10-18_To_2001-10-11","Name_2000-10-18_To_2001-10-11","Exchange_2000-10-18_To_2001-10-11","Category.Name_2000-10-18_To_2001-10-11"
"1","V",1,"Visa Inc.","NYQ","Credit Services"
"2","IBM",1,"International Business Machines Corporation","NYQ","Information Technology Services"
"3","TRV",1,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance"
"4","PFE",1,"Pfizer Inc.","NYQ","Drug Manufacturers - Major"
"5","UNH",1,"UnitedHealth Group Incorporated","NYQ","Health Care Plans"
"6","MMM",1,"3M Company","NYQ","Diversified Machinery"
"7","NKE",1,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories"
"8","INTC",1,"Intel Corporation","NMS","Semiconductor - Broad Line"
"9","CVX",1,"Chevron Corporation","NYQ","Major Integrated Oil & Gas"
"10","XOM",1,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas"
"11","UTX",1,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services"
"12","HD",1,"The Home Depot, Inc.","NYQ","Home Improvement Stores"
"13","CSCO",1,"Cisco Systems, Inc.","NMS","Networking & Communication Devices"
"14","AAPL",1,"Apple Inc.","NMS","Electronic Equipment"
"15","AXP",1,"American Express Company","NYQ","Credit Services"
"16","MCD",1,"McDonald's Corporation","NYQ","Restaurants"
"17","DIS",1,"The Walt Disney Company","NYQ","Entertainment - Diversified"
"18","KO",1,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks"
"19","GE",1,"General Electric Company","NYQ","Diversified Machinery"
"20","BA",1,"The Boeing Company","NYQ","Aerospace/Defense Products & Services"
"21","CAT",1,"Caterpillar Inc.","NYQ","Farm & Construction Machinery"
"22","^GSPTSE",1,"203","203","203"
"23","^GSPC",1,"202","202","202"
"24","^DJI",1,"132","132","132"
"25","^IXIC",1,"251","251","251"
"26","^NYA",1,"340","340","340"
"27","^XAX",1,"490","490","490"
"28","^RUT",1,"391","391","391"
"29","ISM",1,"Navient Corporation","NMS",""
"30","ARLUF",1,"Aristocrat Leisure Limited","PNK",""
"31","POAHY",1,"Porsche Automobil Holding SE","PNK",""
"32","JCE",1,"Nuveen Core Equity Alpha Fund","NYQ",""
"33","CQP",1,"Cheniere Energy Partners, L.P.","ASE","Oil & Gas Pipelines"
"34","CRUS",1,"Cirrus Logic, Inc.","NMS","Semiconductor - Specialized"
"35","LNDNF",1,"Lundin Petroleum AB (publ)","PNK",""
"36","WAB",1,"Westinghouse Air Brake Technologies Corporation","NYQ","Railroads"
"37","PINC",1,"Premier, Inc.","NMS","Healthcare Information Services"
"38","CP",1,"Canadian Pacific Railway Limited","NYQ","Railroads"
"39","KPELF",1,"Keppel Corporation Limited","PNK",""
"40","CME",1,"CME Group Inc.","NMS","Investment Brokerage - National"
"41","MFD",1,"Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund","NYQ",""
"42","EXLLF",1,"Excellon Resources Inc.","PNK",""
"43","RTMFF",1,"RT Minerals Corp","PNK",""
"44","EAD",1,"Wells Fargo Advantage Funds - Wells Fargo Income Opportunities Fund","ASE",""
"45","ICE",1,"Intercontinental Exchange, Inc.","NYQ","Diversified Investments"
"46","IFNNF",1,"Infineon Technologies AG","PNK",""
"47","OMC",1,"Omnicom Group Inc.","NYQ","Advertising Agencies"
"48","XRAY",1,"DENTSPLY SIRONA Inc.","NMS","Medical Instruments & Supplies"
"49","WMLLF",1,"Wealth Minerals Ltd.","PNK",""
"50","HZO",1,"MarineMax, Inc.","NYQ","Specialty Retail, Other"
"51","ZNH",1,"China Southern Airlines Company Limited","NYQ","Major Airlines"
"52","DRH",1,"DiamondRock Hospitality Company","NYQ","REIT - Hotel/Motel"
"53","ANZBY",1,"Australia and New Zealand Banking Group Limited","PNK",""
"54","HPQ",1,"HP Inc.","NYQ","Diversified Computer Systems"
"55","PRU",1,"Prudential Financial, Inc.","NYQ","Life Insurance"
"56","ISMAY",1,"Indra Sistemas, S.A.","PNK",""
"57","ITW",1,"Illinois Tool Works Inc.","NYQ","Diversified Machinery"
"58","COO",1,"The Cooper Companies, Inc.","NYQ","Medical Instruments & Supplies"
"59","MTZ",1,"MasTec, Inc.","NYQ","Heavy Construction"
"60","SPXX",1,"Nuveen S&P 500 Dynamic Overwrite Fund","NYQ",""
"61","NWPX",1,"Northwest Pipe Company","NMS","Steel & Iron"
"62","PFLT",1,"PennantPark Floating Rate Capital Ltd.","NMS",""
"63","PHIIK",1,"PHI, Inc.","NMS",""
"64","NNBR",1,"NN, Inc.","NMS","Machine Tools & Accessories"
"65","BF-B",1,"Brown-Forman Corporation","NYQ","Beverages - Wineries & Distillers"
"66","BABB",1,"BAB, Inc.","PNK","Processed & Packaged Goods"
"67","JTA",1,"Nuveen Tax-Advantaged Total Return Strategy Fund","NYQ",""
"68","LND",1,"BrasilAgro - Companhia Brasileira de Propriedades Agrícolas","NYQ","Property Management"
"69","SKSBF",1,"Skanska AB (publ)","PNK",""
"70","HEINY",1,"Heineken N.V.","PNK",""
"71","JMPLY",1,"Johnson Matthey Plc","PNK",""
"72","GS",2,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National"
"73","JPM",2,"JPMorgan Chase & Co.","NYQ","Money Center Banks"
"74","C",2,"Citigroup Inc.","NYQ","Money Center Banks"
"75","BAC",2,"Bank of America Corporation","NYQ","Money Center Banks"
"76","MS",2,"Morgan Stanley","NYQ","Investment Brokerage - National"
"77","FHN",2,"First Horizon National Corporation","NYQ","Regional - Southeast Banks"
"78","SNLAY",2,"Sino Land Company Limited","PNK",""
