"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"PSM.DE",0.006,0.026,2,-0.037,-0.022,-0.012,-0.002,0.001,0.015,0.026,0.04,0.058,"ProSiebenSat.1 Media SE","GER","Broadcasting - TV","Germany"
"ADS.DE",0.006,0.027,2,-0.045,-0.023,-0.015,-0.009,-0.004,0.009,0.02,0.028,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"NKE",0.006,0.027,1,-0.027,-0.011,-0.003,0.003,0.006,0.016,0.026,0.04,0.063,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories","USA"
"DB1.DE",0.006,0.028,2,-0.029,-0.011,-0.004,0.001,0.006,0.018,0.029,0.044,0.064,"Deutsche Börse Aktiengesellschaft","GER","Asset Management","Germany"
"WMT",0.006,0.028,1,-0.031,-0.013,-0.006,0.002,0.005,0.015,0.023,0.036,0.075,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores","USA"
"CA.PA",0.006,0.029,2,-0.056,-0.033,-0.026,-0.017,-0.011,0.003,0.015,0.032,0.062,"Carrefour SA","PAR","Grocery Stores","France"
"SPLK",0.007,0.03,2,-0.031,-0.011,-0.003,0.006,0.011,0.019,0.025,0.035,0.081,"Splunk Inc.","NMS","Application Software","USA"
"GE",0.007,0.03,2,-0.055,-0.028,-0.022,-0.014,-0.01,-0.001,0.009,0.021,0.039,"General Electric Company","NYQ","Diversified Machinery","USA"
"SW.PA",0.007,0.031,2,-0.036,-0.015,-0.008,-0.002,0.002,0.011,0.019,0.035,0.059,"Sodexo S.A.","PAR","Business Services","France"
"VNA.DE",0.007,0.031,2,-0.029,-0.009,-0.001,0.003,0.006,0.016,0.02,0.034,0.065,"Vonovia SE","GER","","Germany"
"V",0.007,0.031,1,-0.016,-0.003,0.003,0.01,0.013,0.029,0.039,0.05,0.079,"Visa Inc.","NYQ","Credit Services","USA"
"UNH",0.007,0.031,1,-0.024,-0.009,-0.003,0.003,0.006,0.017,0.027,0.046,0.077,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
"CSCO",0.007,0.031,1,-0.024,-0.01,-0.003,0.006,0.01,0.018,0.029,0.04,0.055,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"MCD",0.007,0.031,2,-0.03,-0.017,-0.008,-0.001,0.003,0.013,0.022,0.034,0.071,"McDonald's Corporation","NYQ","Restaurants","USA"
"TKA.DE",0.007,0.032,2,-0.047,-0.022,-0.017,-0.007,-0.002,0.013,0.019,0.03,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"CVX",0.008,0.032,1,-0.033,-0.012,-0.004,0.004,0.009,0.021,0.028,0.04,0.067,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"HD",0.007,0.032,1,-0.028,-0.014,-0.003,0.006,0.011,0.026,0.037,0.057,0.084,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"ATO.PA",0.008,0.033,2,-0.038,-0.017,-0.01,-0.002,0.002,0.01,0.02,0.032,0.067,"Atos SE","PAR","Information Technology Services","France"
"MRK.DE",0.008,0.033,2,-0.043,-0.02,-0.011,-0.005,-0.003,0.006,0.015,0.024,0.045,"Merck Kommanditgesellschaft auf Aktien","GER","Drugs - Generic","Germany"
"FME.DE",0.008,0.033,2,-0.033,-0.015,-0.005,0.001,0.003,0.011,0.018,0.029,0.058,"Fresenius Medical Care AG & Co. KGAA","GER","Hospitals","Germany"
"PFE",0.008,0.033,1,-0.032,-0.013,-0.002,0.004,0.008,0.019,0.026,0.034,0.052,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"DIS",0.008,0.033,1,-0.037,-0.018,-0.01,-0.001,0.002,0.013,0.02,0.031,0.052,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"ORA.PA",0.008,0.034,2,-0.038,-0.018,-0.01,-0.004,0,0.012,0.023,0.037,0.065,"Orange S.A.","PAR","","France"
"RWE.DE",0.008,0.034,2,-0.039,-0.016,-0.006,0.002,0.005,0.019,0.03,0.048,0.078,"RWE Aktiengesellschaft","GER","Diversified Utilities","Germany"
"INTC",0.008,0.034,1,-0.034,-0.016,-0.005,0.005,0.01,0.023,0.032,0.046,0.07,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"AIG",0.008,0.034,1,-0.046,-0.022,-0.012,-0.004,0,0.015,0.026,0.035,0.059,"American International Group, Inc.","NYQ","Property & Casualty Insurance","USA"
"AIR.PA",0.008,0.035,2,-0.028,-0.013,-0.005,0.002,0.005,0.015,0.025,0.041,0.074,"Airbus SE","PAR","","France"
"EI.PA",0.008,0.035,2,-0.03,-0.013,-0.007,0,0.005,0.013,0.021,0.034,0.061,"Essilor International Société Anonyme","PAR","Medical Instruments & Supplies","France"
"BN.PA",0.008,0.035,2,-0.036,-0.019,-0.01,-0.004,0,0.012,0.021,0.032,0.052,"Danone","PAR","Food - Major Diversified","France"
"VIV.PA",0.008,0.035,2,-0.037,-0.02,-0.013,-0.006,-0.004,0.009,0.018,0.028,0.057,"Vivendi SA","PAR","Wireless Communications","France"
"FRE.DE",0.008,0.035,2,-0.042,-0.023,-0.014,-0.007,-0.001,0.011,0.017,0.026,0.058,"Fresenius SE & Co. KGaA","GER","Hospitals","Germany"
"LHA.DE",0.008,0.035,2,-0.034,-0.016,-0.009,-0.001,0.003,0.015,0.023,0.035,0.059,"Deutsche Lufthansa Aktiengesellschaft","GER","Major Airlines","Germany"
"DTE.DE",0.008,0.035,2,-0.046,-0.024,-0.018,-0.011,-0.007,0.004,0.016,0.026,0.047,"Deutsche Telekom AG","GER","Wireless Communications","Germany"
"MRK",0.008,0.035,1,-0.046,-0.018,-0.011,-0.004,0.001,0.014,0.023,0.037,0.057,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"XOM",0.008,0.035,1,-0.035,-0.012,-0.003,0.003,0.006,0.015,0.024,0.038,0.071,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas","USA"
"CAP.PA",0.008,0.036,2,-0.028,-0.012,-0.004,0.002,0.005,0.016,0.024,0.042,0.087,"Capgemini SE","PAR","","France"
"UG.PA",0.008,0.036,2,-0.036,-0.016,-0.009,-0.001,0.003,0.014,0.023,0.034,0.052,"Peugeot S.A.","PAR","Auto Manufacturers - Major","France"
"LR.PA",0.008,0.036,2,-0.031,-0.014,-0.006,0.002,0.005,0.016,0.025,0.035,0.065,"Legrand SA","PAR","Diversified Machinery","France"
"ENGI.PA",0.008,0.036,2,-0.043,-0.017,-0.008,-0.002,0.002,0.012,0.023,0.04,0.07,"ENGIE SA","PAR","","France"
"SAN.PA",0.008,0.036,2,-0.047,-0.02,-0.011,-0.004,-0.001,0.01,0.017,0.027,0.051,"Sanofi","PAR","Drug Manufacturers - Major","France"
"LIN.DE",0.008,0.036,2,-0.042,-0.024,-0.01,-0.002,0,0.011,0.02,0.03,0.066,"Linde Aktiengesellschaft","GER","Chemicals - Major Diversified","Germany"
"VZ",0.008,0.036,1,-0.036,-0.018,-0.01,-0.002,0.003,0.017,0.023,0.035,0.068,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"AAPL",0.009,0.036,1,-0.038,-0.014,-0.005,0.004,0.008,0.019,0.029,0.044,0.068,"Apple Inc.","NMS","Electronic Equipment","USA"
"DPW.DE",0.009,0.037,2,-0.046,-0.023,-0.014,-0.005,0,0.016,0.024,0.035,0.051,"Deutsche Post AG","GER","Air Delivery & Freight Services","Germany"
"EOAN.DE",0.009,0.037,2,-0.051,-0.022,-0.013,-0.005,0,0.009,0.021,0.037,0.063,"E.ON SE","GER","Diversified Utilities","Germany"
"HEI.DE",0.009,0.037,2,-0.049,-0.023,-0.016,-0.008,-0.003,0.007,0.015,0.032,0.057,"HeidelbergCement AG","GER","General Building Materials","Germany"
"DBK.DE",0.009,0.037,2,-0.048,-0.025,-0.015,-0.01,-0.007,0.008,0.018,0.027,0.048,"Deutsche Bank Aktiengesellschaft","GER","Money Center Banks","Germany"
"KO",0.009,0.037,1,-0.033,-0.017,-0.009,0,0.004,0.016,0.026,0.038,0.068,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"JNJ",0.009,0.037,1,-0.039,-0.021,-0.011,-0.004,-0.001,0.01,0.016,0.032,0.062,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"BEI.DE",0.009,0.038,2,-0.035,-0.019,-0.011,-0.002,0.002,0.014,0.024,0.034,0.065,"Beiersdorf Aktiengesellschaft","GER","Personal Products","Germany"
"IBM",0.009,0.038,1,-0.044,-0.02,-0.01,-0.003,0.001,0.011,0.021,0.033,0.076,"International Business Machines Corporation","NYQ","Information Technology Services","USA"
"TRV",0.009,0.038,1,-0.031,-0.016,-0.009,-0.001,0.002,0.011,0.024,0.04,0.064,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance","USA"
"BA",0.009,0.038,1,-0.021,-0.006,0,0.007,0.01,0.02,0.027,0.038,0.069,"The Boeing Company","NYQ","Aerospace/Defense Products & Services","USA"
"VIE.PA",0.009,0.039,2,-0.036,-0.015,-0.006,0.002,0.007,0.018,0.028,0.041,0.081,"Veolia Environnement S.A.","PAR","Waste Management","France"
"CBK.DE",0.009,0.039,1,-0.043,-0.021,-0.012,-0.004,0,0.011,0.017,0.026,0.048,"Commerzbank AG","GER","Money Center Banks","Germany"
"PG",0.009,0.039,1,-0.037,-0.015,-0.007,-0.002,0.004,0.014,0.021,0.031,0.055,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"AXP",0.009,0.039,1,-0.03,-0.01,-0.003,0.004,0.009,0.02,0.029,0.039,0.066,"American Express Company","NYQ","Credit Services","USA"
"BAYN.DE",0.009,0.04,2,-0.056,-0.026,-0.017,-0.006,-0.003,0.009,0.017,0.027,0.043,"Bayer Aktiengesellschaft","GER","Drug Manufacturers - Major","Germany"
"AC.PA",0.01,0.042,2,-0.035,-0.018,-0.009,0.002,0.006,0.022,0.036,0.056,0.087,"Accor SA","PAR","Lodging","France"
"ML.PA",0.01,0.042,2,-0.05,-0.019,-0.011,-0.004,-0.001,0.01,0.016,0.033,0.059,"Compagnie Générale des Etablissements Michelin","PAR","Rubber & Plastics","France"
"HEN3.DE",0.01,0.042,2,-0.039,-0.018,-0.012,-0.004,-0.001,0.01,0.017,0.026,0.055,"Henkel AG & Co. KGaA","GER","Personal Products","Germany"
"MSFT",0.01,0.042,1,-0.022,-0.006,0.001,0.007,0.012,0.021,0.031,0.043,0.066,"Microsoft Corporation","NMS","Business Software & Services","USA"
"MUV2.DE",0.01,0.043,2,-0.037,-0.016,-0.009,0.001,0.006,0.016,0.028,0.04,0.063,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","GER","Property & Casualty Insurance","Germany"
"OR.PA",0.011,0.044,2,-0.03,-0.011,-0.004,0.002,0.005,0.014,0.022,0.033,0.054,"L'Oréal S.A.","PAR","Personal Products","France"
"ACA.PA",0.01,0.044,2,-0.051,-0.027,-0.017,-0.009,-0.005,0.007,0.016,0.024,0.057,"Credit Agricole S.A.","PAR","Money Center Banks","France"
"IFX.DE",0.01,0.044,2,-0.03,-0.014,-0.006,0.003,0.007,0.018,0.025,0.042,0.074,"Infineon Technologies AG","GER","Semiconductor - Broad Line","Germany"
"^IXIC",0.011,0.044,1,-0.024,-0.007,0.001,0.01,0.017,0.024,0.034,0.051,0.074,"-","-","-","-"
"UTX",0.01,0.044,1,-0.031,-0.015,-0.007,0.001,0.007,0.018,0.029,0.041,0.092,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"EN.PA",0.011,0.045,2,-0.042,-0.02,-0.013,-0.005,0.004,0.016,0.024,0.036,0.067,"Bouygues SA","PAR","General Contractors","France"
"GLE.PA",0.011,0.046,2,-0.052,-0.031,-0.02,-0.012,-0.008,0.004,0.017,0.035,0.052,"Societe Generale Group","PAR","Money Center Banks","France"
"MMM",0.011,0.046,1,-0.037,-0.02,-0.008,0.001,0.006,0.018,0.028,0.043,0.075,"3M Company","NYQ","Diversified Machinery","USA"
"KER.PA",0.011,0.047,2,-0.025,-0.003,0.003,0.01,0.014,0.023,0.029,0.043,0.074,"Kering S.A.","PAR","","France"
"CAT",0.011,0.047,1,-0.025,-0.01,0.001,0.01,0.013,0.02,0.027,0.045,0.078,"Caterpillar Inc.","NYQ","Farm & Construction Machinery","USA"
"FR.PA",0.012,0.048,2,-0.048,-0.024,-0.014,-0.001,0.002,0.013,0.02,0.03,0.061,"Valeo SA","PAR","Auto Parts","France"
"CON.DE",0.012,0.048,2,-0.032,-0.016,-0.006,-0.001,0.004,0.013,0.018,0.028,0.059,"Continental Aktiengesellschaft","GER","Auto Parts","Germany"
"FP.PA",0.012,0.049,2,-0.032,-0.011,-0.004,0.004,0.01,0.024,0.035,0.05,0.087,"TOTAL S.A.","PAR","Major Integrated Oil & Gas","France"
"SGO.PA",0.012,0.049,2,-0.049,-0.024,-0.015,-0.009,-0.005,0.008,0.021,0.029,0.051,"Compagnie de Saint-Gobain S.A.","PAR","General Building Materials","France"
"VOW3.DE",0.012,0.05,2,-0.044,-0.022,-0.014,-0.004,0,0.01,0.019,0.03,0.056,"Volkswagen Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"GS",0.013,0.05,1,-0.042,-0.017,-0.01,-0.004,0,0.012,0.022,0.034,0.055,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"BNP.PA",0.013,0.051,2,-0.051,-0.024,-0.017,-0.01,-0.004,0.009,0.017,0.03,0.075,"BNP Paribas SA","PAR","Money Center Banks","France"
"MC.PA",0.013,0.052,2,-0.031,-0.011,-0.005,0.004,0.007,0.017,0.028,0.041,0.065,"LVMH Moët Hennessy Louis Vuitton S.E.","PAR","Jewelry Stores","France"
"DG.PA",0.012,0.052,2,-0.032,-0.012,-0.005,-0.001,0.002,0.017,0.024,0.035,0.076,"VINCI SA","PAR","General Contractors","France"
