"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"ADS.DE",0.007,0.03,2,-0.045,-0.023,-0.015,-0.009,-0.004,0.009,0.02,0.028,0.064,"Adidas AG","GER","Textile - Apparel Footwear & Accessories","Germany"
"PSM.DE",0.008,0.032,2,-0.037,-0.022,-0.012,-0.002,0.001,0.015,0.026,0.04,0.058,"ProSiebenSat.1 Media SE","GER","Broadcasting - TV","Germany"
"ELUX-B.ST",0.008,0.032,1,-0.047,-0.024,-0.018,-0.014,-0.01,0.003,0.011,0.018,0.042,"AB Electrolux (publ)","STO","Electronic Equipment","Sweden"
"DB1.DE",0.008,0.034,1,-0.029,-0.011,-0.004,0.001,0.006,0.018,0.029,0.044,0.064,"Deutsche Börse Aktiengesellschaft","GER","Asset Management","Germany"
"AZN.ST",0.008,0.034,2,-0.033,-0.013,-0.006,0.002,0.005,0.019,0.033,0.048,0.076,"AstraZeneca PLC","STO","Drug Manufacturers - Major","Sweden"
"NESN.VX",0.008,0.035,3,-0.032,-0.018,-0.012,-0.006,-0.003,0.007,0.016,0.022,0.038,"Nestlé S.A.","EBS","","Switzerland"
"ASSA-B.ST",0.008,0.035,1,-0.028,-0.015,-0.009,-0.002,0.001,0.008,0.017,0.031,0.057,"ASSA ABLOY AB (publ)","STO","General Building Materials","Sweden"
"HM-B.ST",0.008,0.035,1,-0.05,-0.029,-0.021,-0.014,-0.011,0.003,0.017,0.029,0.056,"H & M Hennes & Mauritz AB (publ)","STO","","Sweden"
"VNA.DE",0.009,0.036,2,-0.029,-0.009,-0.001,0.003,0.006,0.016,0.02,0.034,0.065,"Vonovia SE","GER","","Germany"
"SWMA.ST",0.008,0.036,2,-0.029,-0.01,0,0.009,0.012,0.023,0.033,0.048,0.092,"Swedish Match AB (publ)","STO","Tobacco Products, Other","Sweden"
"TEL2-B.ST",0.009,0.036,1,-0.042,-0.019,-0.013,-0.004,-0.001,0.013,0.023,0.036,0.075,"Tele2 AB (publ)","STO","Wireless Communications","Sweden"
"FING-B.ST",0.008,0.036,2,-0.063,-0.033,-0.022,-0.012,-0.009,0.002,0.007,0.017,0.036,"Fingerprint Cards AB (publ)","STO","Electronic Equipment","Sweden"
"MRK.DE",0.009,0.037,2,-0.043,-0.02,-0.011,-0.005,-0.003,0.006,0.015,0.024,0.045,"Merck Kommanditgesellschaft auf Aktien","GER","Drugs - Generic","Germany"
"SKA-B.ST",0.009,0.037,1,-0.046,-0.023,-0.014,-0.008,-0.005,0.005,0.013,0.024,0.042,"Skanska AB (publ)","STO","General Contractors","Sweden"
"RWE.DE",0.009,0.038,2,-0.039,-0.016,-0.006,0.002,0.005,0.019,0.03,0.048,0.078,"RWE Aktiengesellschaft","GER","Diversified Utilities","Germany"
"BEI.DE",0.01,0.039,2,-0.035,-0.019,-0.011,-0.002,0.002,0.014,0.024,0.034,0.065,"Beiersdorf Aktiengesellschaft","GER","Personal Products","Germany"
"CBK.DE",0.01,0.039,2,-0.043,-0.021,-0.012,-0.004,0,0.011,0.017,0.026,0.048,"Commerzbank AG","GER","Money Center Banks","Germany"
"DTE.DE",0.009,0.039,2,-0.046,-0.024,-0.018,-0.011,-0.007,0.004,0.016,0.026,0.047,"Deutsche Telekom AG","GER","Wireless Communications","Germany"
"LONN.VX",0.009,0.039,3,-0.029,-0.014,-0.004,0.006,0.01,0.019,0.026,0.036,0.052,"Lonza Group Ltd","EBS","","Switzerland"
"FRE.DE",0.01,0.04,2,-0.042,-0.023,-0.014,-0.007,-0.001,0.011,0.017,0.026,0.058,"Fresenius SE & Co. KGaA","GER","Hospitals","Germany"
"TKA.DE",0.009,0.04,2,-0.047,-0.022,-0.017,-0.007,-0.002,0.013,0.019,0.03,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"HEI.DE",0.009,0.04,2,-0.049,-0.023,-0.016,-0.008,-0.003,0.007,0.015,0.032,0.057,"HeidelbergCement AG","GER","General Building Materials","Germany"
"LHA.DE",0.01,0.04,2,-0.034,-0.016,-0.009,-0.001,0.003,0.015,0.023,0.035,0.059,"Deutsche Lufthansa Aktiengesellschaft","GER","Major Airlines","Germany"
"DBK.DE",0.01,0.04,2,-0.048,-0.025,-0.015,-0.01,-0.007,0.008,0.018,0.027,0.048,"Deutsche Bank Aktiengesellschaft","GER","Money Center Banks","Germany"
"FME.DE",0.01,0.04,2,-0.033,-0.015,-0.005,0.001,0.003,0.011,0.018,0.029,0.058,"Fresenius Medical Care AG & Co. KGAA","GER","Hospitals","Germany"
"LHN.VX",0.01,0.04,3,-0.032,-0.018,-0.01,-0.003,0,0.008,0.022,0.037,0.068,"LafargeHolcim Ltd","EBS","","Switzerland"
"NOVN.VX",0.01,0.04,3,-0.039,-0.015,-0.007,-0.003,0.002,0.011,0.02,0.027,0.047,"Novartis AG","EBS","","Switzerland"
"^SSMI",0.009,0.04,2,-0.032,-0.012,-0.006,0.001,0.004,0.013,0.022,0.034,0.061,"-","-","-","-"
"SECU-B.ST",0.01,0.04,1,-0.038,-0.018,-0.009,-0.002,0.002,0.011,0.018,0.029,0.07,"Securitas AB","STO","Security & Protection Services","Sweden"
"ALIV-SDB.ST",0.009,0.04,1,-0.031,-0.013,-0.005,0.004,0.008,0.019,0.027,0.043,0.077,"Autoliv, Inc.","STO","Auto Parts","Sweden"
"GIVN.VX",0.01,0.041,3,-0.032,-0.013,-0.005,0.002,0.005,0.015,0.023,0.031,0.053,"Givaudan SA","EBS","","Switzerland"
"TELIA.ST",0.01,0.041,1,-0.038,-0.021,-0.012,-0.003,0.001,0.01,0.02,0.033,0.074,"-","-","-","-"
"ERIC-B.ST",0.01,0.041,1,-0.042,-0.02,-0.014,-0.005,-0.001,0.011,0.02,0.029,0.056,"Telefonaktiebolaget LM Ericsson (publ)","STO","Communication Equipment","Sweden"
"LIN.DE",0.01,0.042,2,-0.042,-0.024,-0.01,-0.002,0,0.011,0.02,0.03,0.066,"Linde Aktiengesellschaft","GER","Chemicals - Major Diversified","Germany"
"ROG.VX",0.01,0.042,3,-0.048,-0.029,-0.021,-0.01,-0.006,0.008,0.016,0.028,0.056,"Roche Holding AG","EBS","","Switzerland"
"BOL.ST",0.01,0.042,1,-0.046,-0.019,-0.008,0.001,0.003,0.018,0.026,0.035,0.056,"Boliden AB (publ.)","STO","Industrial Metals & Minerals","Sweden"
"SCMN.VX",0.01,0.043,3,-0.037,-0.011,-0.004,0.002,0.004,0.013,0.024,0.035,0.059,"Swisscom AG","EBS","","Switzerland"
"GETI-B.ST",0.01,0.043,1,-0.045,-0.023,-0.016,-0.008,-0.003,0.007,0.016,0.025,0.045,"Getinge AB","STO","Medical Instruments & Supplies","Sweden"
"BAYN.DE",0.011,0.044,2,-0.056,-0.026,-0.017,-0.006,-0.003,0.009,0.017,0.027,0.043,"Bayer Aktiengesellschaft","GER","Drug Manufacturers - Major","Germany"
"SCA-B.ST",0.011,0.044,1,-0.032,-0.012,0,0.006,0.01,0.026,0.034,0.046,0.09,"Svenska Cellulosa Aktiebolaget SCA (publ)","STO","Personal Products","Sweden"
"DPW.DE",0.011,0.045,1,-0.046,-0.023,-0.014,-0.005,0,0.016,0.024,0.035,0.051,"Deutsche Post AG","GER","Air Delivery & Freight Services","Germany"
"HEN3.DE",0.011,0.045,2,-0.039,-0.018,-0.012,-0.004,-0.001,0.01,0.017,0.026,0.055,"Henkel AG & Co. KGaA","GER","Personal Products","Germany"
"NDA-SEK.ST",0.012,0.045,1,-0.037,-0.017,-0.009,-0.005,-0.001,0.006,0.012,0.025,0.054,"Nordea Bank AB (publ)","STO","Money Center Banks","Sweden"
"EOAN.DE",0.011,0.046,2,-0.051,-0.022,-0.013,-0.005,0,0.009,0.021,0.037,0.063,"E.ON SE","GER","Diversified Utilities","Germany"
"SWED-A.ST",0.012,0.046,1,-0.033,-0.017,-0.01,-0.002,0.002,0.01,0.019,0.03,0.047,"Swedbank AB (publ)","STO","Money Center Banks","Sweden"
"SSAB-A.ST",0.011,0.046,2,-0.045,-0.022,-0.011,-0.001,0.002,0.012,0.021,0.034,0.065,"SSAB AB","STO","Steel & Iron","Sweden"
"SREN.VX",0.012,0.047,3,-0.038,-0.017,-0.011,-0.004,0,0.012,0.021,0.034,0.082,"Swiss Re Ltd","EBS","","Switzerland"
"UBSG.VX",0.012,0.047,3,-0.03,-0.017,-0.008,-0.001,0.004,0.015,0.02,0.033,0.06,"UBS Group AG","EBS","","Switzerland"
"UHR.VX",0.012,0.047,3,-0.029,-0.012,-0.003,0.002,0.006,0.02,0.029,0.046,0.091,"The Swatch Group AG","EBS","","Switzerland"
"SIK.VX",0.012,0.048,3,-0.029,-0.009,-0.004,0.004,0.007,0.016,0.023,0.038,0.059,"Sika AG","EBS","","Switzerland"
"CSGN.VX",0.012,0.048,3,-0.031,-0.013,-0.004,0.005,0.008,0.018,0.026,0.034,0.065,"Credit Suisse Group AG","EBS","","Switzerland"
"SGSN.VX",0.012,0.048,3,-0.034,-0.013,-0.005,0.004,0.008,0.02,0.028,0.041,0.07,"SGS SA","EBS","","Switzerland"
"ZURN.VX",0.013,0.05,3,-0.039,-0.018,-0.01,-0.003,0,0.014,0.024,0.033,0.061,"Zurich Insurance Group AG","EBS","","Switzerland"
"BAER.VX",0.013,0.05,3,-0.023,-0.011,-0.003,0.004,0.007,0.017,0.027,0.038,0.062,"Julius Baer Group Ltd.","EBS","","Switzerland"
"CFR.VX",0.012,0.05,3,-0.029,-0.013,-0.004,0.002,0.005,0.017,0.025,0.04,0.083,"Compagnie Financière Richemont SA","EBS","","Switzerland"
"MUV2.DE",0.013,0.051,2,-0.037,-0.016,-0.009,0.001,0.006,0.016,0.028,0.04,0.063,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","GER","Property & Casualty Insurance","Germany"
"IFX.DE",0.013,0.052,2,-0.03,-0.014,-0.006,0.003,0.007,0.018,0.025,0.042,0.074,"Infineon Technologies AG","GER","Semiconductor - Broad Line","Germany"
"SHB-A.ST",0.014,0.052,1,-0.041,-0.024,-0.014,-0.006,-0.003,0.007,0.015,0.024,0.045,"Svenska Handelsbanken AB (publ)","STO","Money Center Banks","Sweden"
"SEB-A.ST",0.014,0.052,1,-0.044,-0.02,-0.013,-0.007,-0.003,0.007,0.014,0.026,0.044,"Skandinaviska Enskilda Banken AB (publ)","STO","Money Center Banks","Sweden"
"CON.DE",0.014,0.053,2,-0.032,-0.016,-0.006,-0.001,0.004,0.013,0.018,0.028,0.059,"Continental Aktiengesellschaft","GER","Auto Parts","Germany"
"ADEN.VX",0.014,0.053,3,-0.041,-0.019,-0.011,-0.003,0.001,0.01,0.02,0.034,0.054,"Adecco Group AG","EBS","","Switzerland"
"SLHN.VX",0.013,0.053,3,-0.032,-0.017,-0.01,-0.001,0.002,0.015,0.027,0.043,0.087,"Swiss Life Holding AG","EBS","","Switzerland"
"ALFA.ST",0.013,0.054,1,-0.035,-0.016,-0.008,0.002,0.004,0.02,0.03,0.044,0.077,"Alfa Laval AB (publ)","STO","Diversified Machinery","Sweden"
"ABB.ST",0.014,0.057,1,-0.036,-0.019,-0.012,-0.005,0,0.014,0.023,0.038,0.063,"ABB Ltd","STO","Diversified Machinery","Sweden"
"KINV-B.ST",0.014,0.058,1,-0.033,-0.01,-0.003,0.005,0.007,0.016,0.029,0.042,0.062,"Kinnevik AB","STO","","Sweden"
"VOW3.DE",0.015,0.059,2,-0.044,-0.022,-0.014,-0.004,0,0.01,0.019,0.03,0.056,"Volkswagen Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"ABBN.VX",0.015,0.059,3,-0.039,-0.015,-0.008,0,0.003,0.017,0.026,0.039,0.064,"ABB Ltd","EBS","","Switzerland"
"SAP.DE",0.015,0.06,2,-0.038,-0.013,-0.006,0.003,0.006,0.017,0.026,0.043,0.081,"SAP SE","GER","Technical & System Software","Germany"
"SAND.ST",0.017,0.062,1,-0.035,-0.015,-0.006,0.002,0.005,0.018,0.027,0.039,0.067,"Sandvik AB","STO","Diversified Machinery","Sweden"
"SKF-B.ST",0.016,0.063,1,-0.038,-0.019,-0.008,-0.001,0.001,0.014,0.024,0.041,0.103,"SKF AB","STO","Machine Tools & Accessories","Sweden"
"DAI.DE",0.016,0.064,2,-0.064,-0.021,-0.007,0.001,0.005,0.016,0.026,0.039,0.058,"Daimler AG","GER","Auto Manufacturers - Major","Germany"
"BMW.DE",0.017,0.065,2,-0.055,-0.025,-0.011,-0.003,0,0.014,0.021,0.031,0.067,"Bayerische Motoren Werke Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"VOLV-B.ST",0.017,0.065,1,-0.039,-0.021,-0.012,-0.003,0.001,0.012,0.021,0.035,0.069,"AB Volvo (publ)","STO","Trucks & Other Vehicles","Sweden"
"GEBN.VX",0.017,0.066,3,-0.046,-0.017,-0.012,-0.004,-0.001,0.013,0.025,0.04,0.081,"Geberit AG","EBS","","Switzerland"
